prompt,deviation,rgb,hex
dirty yellowy green,25.39,170 176 15,#aab00f
dirty yellowy orange,14.83,225 157 8,#e19d08
dodger blue,21.9,59 127 171,#3b7fab
dodgerblue,24.27,57 118 163,#3976a3
dollar bill green,29.45,77 165 73,#4da549
dolphin gray,16.46,136 143 141,#888f8d
donut pink,18.49,218 150 161,#da96a1
dragon green,32.57,61 142 62,#3d8e3e
dull green yellow,28.66,164 182 22,#a4b616
dull purple,18.44,99 69 115,#634573
dull sea green,17.39,89 149 116,#599574
dusky pink,15.6,210 146 140,#d2928c
dusty pink,12.01,214 156 149,#d69c95
dusty rose,15.12,197 140 129,#c58c81
earth blue,23.84,84 132 156,#54849c
earth green,25.82,82 141 65,#528d41
ebony,13.69,29 28 26,#1d1c1a
egg shell,28.87,195 167 115,#c3a773
eggplant,18.83,87 44 79,#572c4f
electric blue,26.14,32 124 180,#207cb4
elf green,28.59,60 144 57,#3c9039
emerald,21.79,36 144 78,#24904e
emerald green,19.92,25 146 64,#199240
emerald green pg18,16.34,36 146 72,#249248
emerald green sub pg7,20.04,33 146 70,#219246
english green deep,22.47,45 117 58,#2d753a
english green deep pg36,26.01,56 135 69,#388745
english green light,24.48,65 171 70,#41ab46
english green light py74 pg7,30.52,112 190 104,#70be68
estoril blue,24.93,67 132 168,#4384a8
faded black,10.64,34 34 32,#222220
faded blue,20.45,94 155 182,#5e9bb6
faded blueish purple,16.08,105 101 160,#6965a0
faded bluey brown,23.58,134 130 106,#86826a
faded bluey gray,16.98,127 150 156,#7f969c
faded bluey green,22.46,93 167 142,#5da78e
faded bluey turquoise,22.9,101 190 187,#65bebb
faded brown,16.78,164 111 62,#a46f3e
faded brownish gray,16.79,138 121 97,#8a7961
faded gray,13.81,146 148 141,#92948d
faded green,19.33,95 165 98,#5fa562
faded greenish blue,20.8,109 169 147,#6da993
